autopista,tramo,eje,sentido,portico_id,referencia_tramo,longitud_km,categoria_vehiculo,tipo_tarifa,precio_clp
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_2,TBFP,417.44
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_2,TBP,834.89
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_2,TS,1252.34
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_3,TBFP,556.59
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_3,TBP,1113.19
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA24,Alameda - C. Valdovinos,2.77,categoria_3,TS,1669.79
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA22,C. Valdovinos - A. Vespucio,4.93,categoria_1y4,TBFP,495.31
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA22,C. Valdovinos - A. Vespucio,4.93,categoria_2,TBFP,742.96
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA22,C. Valdovinos - A. Vespucio,4.93,categoria_3,TBFP,990.62
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA20,A. Vespucio - Ruta 5 Sur,3.97,categoria_1y4,TBFP,398.86
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA20,A. Vespucio - Ruta 5 Sur,3.97,categoria_2,TBFP,598.29
Autopista Central,,EJE GENERAL VELASQUEZ,NORTE-SUR,PA20,A. Vespucio - Ruta 5 Sur,3.97,categoria_3,TBFP,797.72
Costanera Norte,,EJE COSTANERA,ORIENTE-PONIENTE,P0,Puente Padre Arteaga - P. San Francisco,1.4,categoria_1y4,TBFP,144.2
Costanera Norte,,EJE COSTANERA,ORIENTE-PONIENTE,P0,Puente Padre Arteaga - P. San Francisco,1.4,categoria_1y4,TBP,278.6
Costanera Norte,,EJE COSTANERA,ORIENTE-PONIENTE,P0,Puente Padre Arteaga - P. San Francisco,1.4,categoria_1y4,TS,422.8
Costanera Norte,,EJE COSTANERA,ORIENTE-PONIENTE,P0,Puente Padre Arteaga - P. San Francisco,1.4,categoria_2,TBFP,288.4
